date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-01-01,8,7,0.0,3.8,2,2,26,04:35 AM,02:15 PM,09:56 AM,04:36 PM,-1,1,6,1,60,60,60,0.8,1002,8,9,312,40
2019-01-02,2,1,0.0,5.8,2,2,19,05:53 AM,02:36 PM,09:55 AM,04:37 PM,-7,-4,1,-4,38,15,52,0.0,1027,2,10,353,25
2019-01-03,2,1,0.0,3.8,1,1,11,07:07 AM,03:02 PM,09:55 AM,04:38 PM,-3,-1,2,-1,15,64,71,0.0,1032,2,10,92,9
2019-01-04,5,3,0.0,5.8,2,2,4,08:16 AM,03:36 PM,09:54 AM,04:40 PM,2,1,4,1,16,48,87,0.0,1021,5,10,299,8
2019-01-05,5,3,0.0,5.8,2,2,0,09:16 AM,04:18 PM,09:54 AM,04:41 PM,2,3,4,3,13,29,88,0.0,1022,5,10,33,7
2019-01-06,5,2,0.0,5.8,2,2,0,10:05 AM,05:12 PM,09:53 AM,04:43 PM,2,2,3,2,9,34,90,0.0,1025,5,9,228,5
2019-01-07,5,4,0.0,1.7,1,1,3,10:43 AM,06:12 PM,09:52 AM,04:44 PM,3,1,4,1,22,88,93,9.0,1016,5,5,213,15
2019-01-08,5,3,0.2,1.7,1,1,10,11:13 AM,07:20 PM,09:52 AM,04:46 PM,1,-1,3,-1,30,95,82,9.6,997,5,4,125,21
2019-01-09,2,1,0.0,5.8,2,2,18,11:36 AM,08:29 PM,09:51 AM,04:48 PM,-5,-4,1,-4,33,39,67,0.0,1016,2,10,19,22
2019-01-10,3,-0,0.0,1.8,1,1,25,11:54 AM,09:41 PM,09:50 AM,04:50 PM,-2,-1,1,-1,15,79,80,0.5,1020,3,8,203,10
2019-01-11,5,3,0.0,5.8,2,2,32,12:09 PM,10:52 PM,09:49 AM,04:52 PM,1,2,4,2,19,30,80,0.2,1010,5,9,127,11
2019-01-12,4,2,0.0,1.8,1,1,39,12:23 PM,No moonset,09:48 AM,04:53 PM,0,1,2,1,11,59,87,4.8,1001,4,10,216,7
2019-01-13,7,4,0.0,3.8,2,2,47,12:36 PM,12:04 AM,09:47 AM,04:55 PM,1,-0,4,-0,30,60,83,4.3,984,7,8,270,20
2019-01-14,3,0,0.6,3.8,1,1,54,12:50 PM,01:18 AM,09:46 AM,04:57 PM,-9,-5,1,-5,38,47,46,1.3,994,3,9,322,27
2019-01-15,2,0,0.4,1.8,1,1,61,01:06 PM,02:34 AM,09:44 AM,04:59 PM,-4,-2,0,-2,18,69,68,1.4,999,2,8,182,11
2019-01-16,6,4,0.0,1.9,2,2,69,01:25 PM,03:54 AM,09:43 AM,05:01 PM,4,1,5,1,33,100,92,11.8,991,6,7,235,22
2019-01-17,-1,-2,0.0,3.9,1,1,76,01:49 PM,05:15 AM,09:42 AM,05:03 PM,-5,-5,-1,-5,20,65,75,5.3,991,-1,10,11,15
2019-01-18,3,-1,0.0,5.8,2,2,83,02:22 PM,06:37 AM,09:40 AM,05:05 PM,-6,-3,0,-3,21,19,60,0.0,1009,3,10,281,12
2019-01-19,4,3,0.0,1.9,1,1,90,03:10 PM,07:54 AM,09:39 AM,05:08 PM,-0,-1,3,-1,29,48,79,0.2,1013,4,10,261,18
2019-01-20,1,-0,1.0,5.8,2,2,98,04:15 PM,09:00 AM,09:37 AM,05:10 PM,-4,-2,1,-2,15,68,72,1.7,1017,1,9,75,9
